"pkey","user","usergroup"
"26893","102","45"
"26892","102","52"
"26891","102","61"
"26890","102","54"
"26889","102","57"
"26888","102","29"
"26887","102","25"
"26886","102","14"
"26885","102","28"
"26884","102","38"
"26883","102","19"
"26882","102","46"
"26881","102","51"
"26880","102","20"
"26879","102","48"
"26878","102","27"
"26877","102","35"
"26876","102","16"
"26875","102","2"
"26874","102","59"
"26873","102","49"
"26872","102","43"
"26871","102","63"
"26870","102","6"
"26869","102","60"
"26868","102","12"
"26867","102","31"
"26866","102","53"
"26865","102","32"
"77469","373","138"
"47108","164","53"
"54169","165","54"
"28090","166","55"
"55365","334","42"
"66653","2","138"
"66652","2","32"
"66651","2","4"
"53708","250","75"
"76950","13","8"
"76949","13","45"
"76948","13","52"
"55829","167","41"
"55828","167","15"
"55827","167","5"
"55826","167","21"
"55825","167","65"
"55824","167","47"
"55823","167","64"
"55822","167","84"
"55821","167","30"
"55820","167","26"
"55819","167","48"
"55818","167","68"
"55817","167","79"
"55816","167","23"
"55815","167","89"
"55814","167","10"
"55813","167","50"
"55812","167","8"
"55811","167","45"
"55810","167","52"
"55809","167","61"
"55808","167","54"
"55807","167","57"
"55806","167","29"
"55805","167","25"
"55804","167","14"
"55803","167","83"
"55802","167","44"
"55801","167","28"
"55800","167","75"
"55799","167","38"
"55798","167","19"
"19963","168","37"
"20508","169","49"
"74515","171","49"
"26643","170","49"
"26093","172","7"
"20027","173","56"
"26092","172","13"
"26091","172","56"
"26090","172","44"
"26089","172","58"
"26088","172","39"
"26087","172","40"
"26086","172","3"
"26085","172","41"
"26084","172","15"
"26083","172","5"
"26082","172","21"
"26081","172","47"
"26080","172","30"
"26079","172","26"
"26078","172","9"
"26077","172","34"
"26076","172","23"
"26075","172","10"
"26074","172","50"
"26073","172","8"
"26072","172","45"
"26071","172","52"
"26070","172","61"
"26069","172","54"
"26068","172","57"
"26067","172","29"
"26066","172","25"
"26065","172","14"
"26064","172","28"
"26063","172","38"
"26062","172","19"
"26061","172","46"
"26060","172","51"
"26059","172","20"
"26058","172","48"
"26057","172","27"
"26056","172","35"
"26055","172","16"
"26054","172","2"
"26053","172","59"
"26052","172","49"
"26051","172","43"
"26050","172","6"
"26049","172","60"
"26048","172","12"
"26047","172","31"
"26046","172","53"
"55797","167","46"
"81549","80","107"
"81548","80","93"
"81547","80","144"
"81546","80","143"
"81545","80","9"
"77494","3","54"
"77493","3","46"
"77492","3","51"
"77491","3","20"
"20420","174","13"
"55765","175","7"
"55764","175","13"
"55763","175","56"
"55762","175","58"
"55761","175","39"
"55760","175","40"
"55759","175","3"
"55758","175","41"
"55757","175","15"
"55756","175","5"
"55755","175","21"
"55754","175","47"
"55753","175","30"
"55752","175","26"
"55751","175","48"
"55750","175","9"
"55749","175","34"
"55748","175","23"
"55747","175","10"
"55746","175","50"
"55745","175","8"
"55744","175","45"
"55743","175","52"
"55742","175","61"
"55741","175","54"
"55740","175","57"
"55739","175","29"
"55738","175","25"
"55737","175","14"
"55736","175","44"
"55735","175","28"
"55734","175","38"
"55733","175","19"
"55732","175","46"
"55731","175","51"
"55730","175","20"
"55729","175","27"
"55728","175","35"
"55727","175","16"
"55726","175","2"
"55725","175","59"
"55724","175","49"
"55723","175","43"
"55722","175","77"
"55721","175","111"
"55720","175","63"
"55719","175","6"
"55718","175","70"
"37897","176","39"
"25810","177","44"
"25809","177","58"
"25808","177","39"
"25807","177","40"
"25806","177","3"
"25805","177","41"
"25804","177","15"
"25803","177","5"
"25802","177","21"
"25801","177","47"
"25800","177","30"
"25799","177","26"
"25798","177","9"
"25797","177","34"
"25796","177","23"
"25795","177","10"
"25794","177","50"
"25793","177","8"
"25792","177","45"
"25791","177","52"
"25790","177","61"
"25789","177","54"
"25788","177","57"
"25787","177","29"
"25786","177","25"
"25785","177","14"
"25784","177","28"
"25783","177","38"
"25782","177","19"
"25781","177","46"
"25780","177","51"
"25779","177","20"
"25778","177","48"
"25777","177","27"
"25776","177","35"
"25775","177","16"
"25774","177","2"
"25773","177","59"
"25772","177","49"
"25771","177","43"
"25770","177","6"
"25769","177","60"
"25768","177","12"
"25767","177","31"
"25766","177","53"
"25765","177","32"
"43216","178","8"
"43215","178","45"
"43214","178","52"
"43213","178","61"
"43212","178","54"
"43211","178","57"
"43210","178","92"
"43209","178","29"
"43208","178","25"
"43207","178","14"
"43206","178","98"
"43205","178","83"
"43204","178","28"
"43203","178","75"
"43202","178","38"
"43201","178","19"
"43200","178","91"
"43199","178","46"
"43198","178","51"
"43197","178","99"
"43196","178","86"
"43195","178","20"
"43194","178","85"
"43193","178","48"
"43192","178","74"
"43191","178","27"
"43190","178","100"
"43189","178","35"
"43188","178","95"
"43187","178","16"
"43186","178","2"
"43185","178","96"
"43184","178","76"
"43183","178","59"
"43182","178","49"
"43181","178","43"
"43180","178","77"
"43179","178","63"
"43178","178","6"
"43177","178","70"
"43176","178","60"
"43175","178","87"
"43174","178","12"
"43173","178","31"
"43172","178","78"
"43171","178","53"
"43170","178","97"
"43169","178","32"
"23838","179","13"
"23837","179","56"
"23836","179","44"
"23835","179","58"
"23834","179","39"
"23833","179","40"
"23832","179","3"
"23831","179","41"
"23830","179","15"
"23829","179","5"
"23828","179","21"
"23827","179","47"
"23826","179","30"
"23825","179","26"
"23824","179","9"
"23823","179","34"
"23822","179","23"
"23821","179","10"
"23820","179","50"
